name,address
Behala Natun Dal,"12/2 Auddy Bagan Basti Behala, Kolkata"
Behala Natun Sangha,"Behala, Kolkata"
Behala Nutan Dal,"Behala, Kolkata"
Behala Santi Sangha,"Behala, Kolkata"
Behala Shree Sangha,"James Long Sarani Bhairabitala Behala, Kolkata"
Behala Sree Sangha,"Behala, Kolkata"
Behala Trishakti Sangha,"Behala, Kolkata"
Behala Uttor Halder Para Club,"Behala, Kolkata"
Behala Young,"19 SN Roy Rd Sahapur, Kolkata"
Behala Young Mens Association,"New Alipore, Kolkata"
Belgachia Olaichandi,"97 Khudiram Bose Rd Belgachia, Kolkata"
Belgachia Sadharan,"Tala Belgachia, Kolkata"
Belgachia Sadharon Durgotsav,North Kolkata
Belgachia Yuba Sammilani,"Belgachia, Kolkata"
Beltala Road Shakti Sangha,"Bhawanipore, Kolkata"
Beniatola Sarbojonin Durgotsab,"Shobhabazar, Kolkata"
Bhadreswar Sarbojanin Durga Puja,Bhadreswar
Bhagabati Park Durga Puja Committee,"Nagerbazar, Kolkata"
Bhawanipur Kishor Sangha,"Bhowanipore, Kolkata"
"Bholanath Dham, Dutta Bari","Maniktala, Kolkata"
Bhowanipur 75 Palli,"Bhowanipore, Kolkata"
Bhowanipur Durgotsav,"Chandra Nath Chatterjee St, Kolkata"
Bhowanipur Muktadal,"Bhawanipore, Kolkata"
Bhowanipur Sarbojanin Durgotsav,"Bhowanipore, Kolkata"
Bhowanipur Swadhin Sangha,"Bhowanipore, Kolkata"
Bidhan Nagar (S) Athletics Club,"Tiljala, Kolkata"
Bidhan Sarani Atlas Club,"Shyambazar, Kolkata"
Bijoygarh Bharat Mata,"Jadavpur, Kolkata"
Boral Sukanta Sangha,"Sukanta Pally, Lakepally Rd, Boral, Kolkata"
Bose Pukur Parijat Club,"Kasba, Kolkata"
Bosepukur Sitala Mandir,South Kolkata
Bosepukur Talbagan Sarbojanin Durga Puja,"Kasba, Kolkata"
Brahmapur Sanmilani Sangha,"Rajpur Sonarpur, Kolkata"
Brindabon Matri Mandir,"Machuabazar, Kolkata"
Chakraberia Sarbojanin,"Chakraberia Road N Paddapukur, Kolkata"
Chakraberia Sarbojanin Durgotsav,"Padmapukur, Kolkata"
Chalta Bagan,"159D Vivekananda Rd Manicktala, Kolkata"
Chaltabagan Sarbojanin Durgotsab Committee,"Maniktala, Kolkata"
Chandannagar Central Durga Puja,Chandannagar
Chandannagar Strand Road Durga Puja,Chandannagar
Chandra Family's Durga Pujo,"Sealdah, Kolkata"
Chandranath Chatterjee Street Sarbojanin,"Bhowanipore, Kolkata"
Charu Avenue Nabapalli Sangha,"Tollygunge, Kolkata"
Chatushkone Park Saradia Sammilani,"Kalighat, Kolkata"
Chetla Agrani,"27/B Jainuddin Mistry Ln Chetla, Kolkata"
Chetla Agrani Club,South Kolkata
Chetla Sarbasadharaner Durgotsab,"Chetla, Kolkata"
Chhatu Babu Latu Babu Thakur Bari,"Shobhabazar, Kolkata"
Chittaranjan Sangha,"Jadavpur, Kolkata"
Chorbagan Chatterjee Bari,"Sealdah, Kolkata"
Chorbagan Mitra Bari,"Sealdah, Kolkata"
Chorbagan Sil's Thakurbari,"Jorasanko, Kolkata"
Chorebagan Sarbojanin,"Radha Madhab Saha Ln Simla, Kolkata"
Chorebagan Sarbojonin,"Sealdah, Kolkata"
College Square,"College St, Kolkata"
College Square Sarbojanin Durgotsab,Central Kolkata
Cossipore Naba Yubak Sangha,"Rustam Ji Parsi Rd, Cossipore, Kolkata"
Dadabhai Sporting Club Babupara,"ra, Siliguri"
Dakshin Buincha Sarbojanin,"Phulia, West Bengal"
Dakshin Kolkata Sarbojonin Durgotsob,"Padmapukur, Kolkata"
Dakshin Kolkata Tarun Samity,"Kalighat, Kolkata"
Dakshindari Youth Forum,"Lake Town, Kolkata"
Dakshinpara Durgotsab Committee,"Baguiati, Kolkata"
Darjipara Mitra Bari,"Shobhabazar, Kolkata"
Darjipara Sarbojanin Durgotsab,"Shobhabazar, Kolkata"
Darpanarayan Sarbojanin Durga Puja,"Jorabagan, Kolkata"
Debdaru Fatak Sarbojanin Durgotsav,"Behala, Kolkata"
Deshapriya Park,"Motilal Nehru Rd, Manoharpukur, Kalighat, Kolkata"
Deshbandhupara Subrata Sangha Durga Puja,"ndhupara, Siliguri"
Dum Dum Park Bharat Chakra,North-East Kolkata
Dum Dum Park Sarbojanin,"225/1, Dum Dum Park, South Dumdum, Kolkata"
Dum Dum Park Sarbojanin Durga Puja Samity,"South Dum Dum, Kolkata"
Dum Dum Park Tarun Dal,"South Dum Dum, Kolkata"
Dum Dum Park Tarun Sangha,North-East Kolkata
Dum Dum Park Yubak Brinda,"South Dum Dum, Kolkata"
Durga Puja 4 Ghosh Lane,"Maniktala, Kolkata"
Dutta Bari Durga Pujo,"Girish Park, Kolkata"
East Balia Sarbojanin Durga Puja,"Garia, Kolkata"
Ekdalia Evergreen,"15 Ekdalia Rd, Kolkata"
Ekdalia Evergreen Club,South Kolkata
Elachi Ramchandrapur Milan Sangha,"Rajpur Sonarpur, Kolkata"
Entally 14 pally Udayan Sangha,"Entally, Kolkata"
Entally Matribhoomi,"Entally, Kolkata"
Falguni Sangha,"Gariahat, Kolkata"
Forward Club,"27/B Kalidas Patitundi Ln Kalighat, Kolkata"
Friends' Union,"9 Bhabnath Sen St, Kolkata"
Garfa Sarbojanin Durgotsav,"Garfa, Kolkata"
Garia Naba Durga,"Garia, Kolkata"
Garia Pancha Durga,"New Garia, Kolkata"
Garia Park Sarbojanin Durgotsav,"Garia, Kolkata"
Garpar Matri Mandir,"16, Brindaban Mullick 1st Ln, Manicktala, Kolkata"
Ghasbagan Sporting Club,"Mali Panchghara, Kolkata"
Goabagan Sarbojanin Durgotsav Samiti,"Maniktala, Kolkata"
Goabagan Sarodatsav Sammilani,"Maniktala, Kolkata"
Golaghata Sammelani Club,"Lake Town, Kolkata"
Golf Green Phase 1 Durgotsab Puja Committee,"Golf Green, Kolkata"
Golf Green Phase II Durga Puja,"Golf Green, Kolkata"
Golf Green Sarodotsab,"LIG 1/2 Golf Green, Kolkata"
