name,address
Shyambazar Palli Sangha,"Shyambazar, Kolkata"
Shyampukur Adi Sarbojanin Durgotsab Committee,"Shyambazar, Kolkata"
Shyampukur Sanghatirtha Durga Puja Samity,"Shyambazar, Kolkata"
Sikdar Bagan Durga Puja,"Shyambazar, Kolkata"
Sikdar Bagan Sadharan,"1, Sikdar Bagan St, Sovabazar, Hati Bagan, Kolkata"
Simla Bayam Samiti,"9B Simla Machuabazar, Kolkata"
Simla Byayam Samity,"Sealdah, Kolkata"
Singhi Park Sarbojanin,"18/33 Dover Ln Ballygunge, Kolkata"
Sinthee Sarbojainin,"15B Roy Para Sinthee, Kolkata"
Sitalatala Sanghashree Club Sarbojonin,"Behala, Kolkata"
Sodepur Pragati Sangha (Haridevpur),"Haridevpur, Kolkata"
Sovabazar 20 Palli Beniatola,"Beniatola St Sovabazar, Kolkata"
Sovabazar Burtolla Sarbojanin Durgotsav Samity,"Shobhabazar, Kolkata"
Sovabazar Rajbari,"Shobhabazar, Kolkata"
Sovabazar Rajbarir Durga Pujo,"36 & 33 Raja Nabakrishna St, Sovabazar, Kolkata 700005"
Sovabazar Sandhani,"Shobhabazar, Kolkata"
Sovabazar Sarbojanin,"Shobhabazar, Kolkata"
Sree Bhumi Sporting Club,"Lake Town, Kolkata"
Srimani Barir Durga Pujo,"17 Mahendra Srimani St (Sukea St), Kolkata 700009"
Suruchi Sangha,South Kolkata
Surya Sangha,"Garfa, Kolkata"
Suryanagar Sarbojonin Durga Pujo,"Rajpur Sonarpur, Kolkata"
Tala Barowari Durga Puja,North Kolkata
Tala Dakshin Pally Sadharan Durgatsab,"Tala, Kolkata"
Tala Palli Sadharan Durgotsab Samity,"Tala, Kolkata"
Tala Park,"Tala Park Rd Tala, Kolkata"
Tala Prattoy Durga Puja,"Tala, Kolkata"
Taltala Children's Park (14 Palli),"Doctor Ln Ripon Street, Kolkata"
Taltala Sarbojanin Durgotsav,"Sealdah, Kolkata"
Taltala Sarbojanin Lord Para,"3 Durga Charan Doctor Rd Maula Ali, Kolkata"
Tangra Gholpara Durga Puja,"Tangra, Kolkata"
Tangra Hari Sabha Math Durga Puja,"Tangra, Kolkata"
Tarun Dal Park,"Paschim Putiary, Kolkata"
Tarun Sangha Hakimpara Durga Puja,"ara, Siliguri"
Tarun Sporting Club,"Girish Park, Kolkata"
Telenga Bagan,"65 Adhar Chandra Das Ln Ultadanga, Kolkata"
Thakurpukur State Bank Park,"Thakurpukur, Kolkata"
Thanthania Dutta Bari,"Sealdah, Kolkata"
Thanthania Mahajati Shakti Sangha,"Sealdah, Kolkata"
Tiljala Yubak Brinda,"Tiljala, Kolkata"
Tricone Park,"Kalighat, Kolkata"
Tridhara Sammilani,"107 Manoharpukur Kalighat, Kolkata"
Trikon Park,"South Rd Santoshpur, Kolkata"
Uday Sangha,"32B, D.N. Ghosh Road, Bhowanipore, Kolkata"
Udayan,"Hem Chandra St Andaman Dock, Kolkata"
Udayan Kidderpore,"Khidderpore, Kolkata"
Udayan Pally,"Diamond Harbour Rd Barisha, Kolkata"
Udayan Sangha,"Kalikapur, Kolkata"
Uddipani Club,"Park Circus, Kolkata"
United Club,"103, Ultadanga Main Road, Ultadanga, Kolkata"
Upanagari Sporting Club Ground,"Patuli, Kolkata"
Uttar Salkia Sarbojanin Durgotsab,Salkia
"Uttarayan Club, Ladies Park","Tala, Kolkata"
Venus Club,"Khidderpore, Kolkata"
Vivekananda Club Hakimpara Durga Puja,"ara, Siliguri"
Vivekananda Milan Sangha,"Baghajatin, Kolkata"
Vivekananda Park Athletic Club,"Haridevpur, Kolkata"
Vivekananda Sarbojanin Durgotsav,"Maniktala, Kolkata"
Vivekananda Sarbojonin Durgatsob Committee,"Maniktala, Kolkata"
Vivekananda Sporting,"66/A Vivekananda Park Paschim Putiary, Kolkata"
Vivekananda Sporting Club,"Sealdah, Kolkata"
Wellington Nagarik Kalyan Samity,"Sealdah, Kolkata"
Y.M.A. Club Babupara Durga Puja,"ra, Siliguri"
Young Boys Club,"17 Tarachand Dutta St Kolutolla, Kolkata"
Young Men's Sporting Association,"Machuabazar, Kolkata"
